Coin X, Coin Y,Volume Coin X,Volume Coin Y,Updated,Spread,Strategy,normalised spread (ZSCORE),Rolling ZScore,Profile (Clustering Analysis),X | Y (Conditional Likelihood),Y | X (Conditional Likelihood),Copula-based Correlation,Cointegration Jn (Johansen Test),Cointegration EG (Engle-Granger Test),Hurst Exponent,Half Life,0sigma,2sigma,Coin X Annualized Volatility,Coin Y Annualized Volatility,VaR (Value at Risk @ 99%),CVaR (Conditional Value at Risk @ 99%),MDD (Maximum Drawdown),Net Return (Net Backtest Return),Sharpe (Sharpe Ratio)
LINKUSDT,LTCUSDT,1.5M,6.2M,2025-Feb-11 00:06:33 UTC,Static AutoRegressive Moving Average,Spread,2.53,2.10,true,3.9%,99.1%,89.3%,false,true,0.90,9.4,29,5,100.9%,106.8%,-4.3%,-9.9%,-17.0%,32.4%,0.77
ONDOUSDT,TRXUSDT,1.8M,1.1M,2025-Feb-12 00:07:08 UTC,Not applicable,Copula,0.41,0.80,true,70.4%,76.9%,28.6%,false,true,0.94,7.1,17,2,112.6%,67.4%,-2.8%,-3.0%,-4.6%,30.7%,2.10
ETHUSDC,VETUSDT,1.6M,280.4K,2025-Feb-12 00:14:56 UTC,Not applicable,Copula,-0.14,-0.03,false,4.9%,84.8%,49.8%,false,true,0.73,0.2,168,8,64.5%,90.0%,-3.7%,-4.4%,-10.2%,30.4%,1.27
APEUSDT,DENTUSDT,122.5K,13.5K,2025-Feb-12 00:02:35 UTC,Static AutoRegressive Moving Average,Spread,0.80,0.84,true,8.5%,86.2%,77.6%,true,true,0.83,9.1,45,5,112.7%,92.2%,-4.5%,-10.1%,-17.1%,30.4%,0.91
ARPAUSDT,C98USDT,34.3K,11.9K,2025-Feb-12 00:02:44 UTC,Static AutoRegressive Moving Average,Spread,-1.23,-0.24,true,87.9%,2.6%,89.7%,false,false,1.01,9.4,49,7,110.9%,94.5%,-5.2%,-10.4%,-18.9%,30.3%,0.78
1000LUNCUSDT,XRPUSDC,450.7K,327.0K,2025-Feb-11 00:17:34 UTC,Ornstein-Uhlenbeck,Rolling Z-Score,-2.05,1.00,false,3.4%,94.6%,14.9%,false,false,0.94,0.0,1,1,97.6%,88.9%,-17.7%,-53.3%,-65.4%,30.2%,0.17
ACHUSDT,SFPUSDT,1.0M,35.0K,2025-Feb-11 00:12:31 UTC,Static AutoRegressive Moving Average,Spread,-2.11,0.34,true,80.3%,3.5%,13.6%,true,true,0.95,7.3,36,6,124.7%,76.1%,-2.8%,-3.5%,-13.5%,29.9%,1.63
ACHUSDT,SFPUSDT,1.0M,35.0K,2025-Feb-11 00:12:31 UTC,Dynamic - Kalman Filter,Spread,-1.40,1.52,true,80.3%,3.5%,13.6%,true,true,0.86,4.6,53,10,124.7%,76.1%,-3.2%,-4.9%,-9.5%,29.9%,1.52
FETUSDT,YGGUSDT,729.8K,42.3K,2025-Feb-12 00:08:27 UTC,Static AutoRegressive Moving Average,Spread,-0.87,1.02,true,32.9%,32.9%,88.0%,true,true,0.69,7.7,49,6,125.4%,140.5%,-7.8%,-28.6%,-43.6%,28.4%,0.31
AVAXUSDT,XLMUSDT,2.0M,914.4K,2025-Feb-11 00:06:59 UTC,Not applicable,Copula,-0.36,-1.64,true,2.3%,97.4%,70.9%,false,true,0.58,4.8,22,4,94.0%,164.1%,-3.5%,-8.1%,-16.3%,27.5%,0.88
